Gene,Pathway,OG_TSG
STRN,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
AKT3,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PIK3R3,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
CREB1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FOXO3,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF23,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
MAPKAP1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
CD80,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PIK3CA,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FLT3,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
NR4A1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
CDKN1A,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
EREG,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
RAC2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
CASP9,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
KL,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PDGFRA,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
KLB,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
MDM2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
RAC1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF5,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
EGF,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
ESR2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF7,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PDPK1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
ERBB2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
VAV1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
AKT1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PIK3R1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
EGFR,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FOXO1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PIK3AP1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF18,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
NRG1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
KIT,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
NRG2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF17,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGFR4,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF19,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
TGFA,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
TRAT1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
ICOS,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
RICTOR,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FRS2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
MLST8,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
IRS1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
NRG4,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PIK3CD,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PTEN,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
BTC,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
RPS6KB2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
RHOG,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
CD19,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
GRB2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
CD28,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
ERBB4,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PTPN11,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
EPGN,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
LCK,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FOXO4,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
NRG3,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
IRS2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PRR5,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF3,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF16,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
SRC,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PDGFA,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
MTOR,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FOXO6,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
AKT1S1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
CHUK,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FYN,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
HGF,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
GAB2,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
KITLG,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
PIK3CB,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
ERBB3,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGFR2,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGFR3,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF10,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF22,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF4,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGFR1,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF20,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FLT3LG,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
ESR1,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
PDGFB,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF9,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
PIK3R2,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
MET,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF8,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
AREG,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
GAB1,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF6,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
HBEGF,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF1,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
PDGFRB,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
CD86,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
STRN,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
PIK3R3,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF23,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
CD80,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
PIK3CA,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FLT3,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
EREG,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
RAC2,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
KL,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
PDGFRA,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
KLB,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
RAC1,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF5,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF2,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
EGF,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
ESR2,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF7,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
ERBB2,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
VAV1,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
PIK3R1,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
EGFR,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
PIK3AP1,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF18,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
NRG1,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
KIT,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
NRG2,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF17,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGFR4,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF19,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
TGFA,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
TRAT1,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
ICOS,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FRS2,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
IRS1,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
NRG4,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
PIK3CD,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
BTC,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
RHOG,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
CD19,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
GRB2,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
CD28,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
ERBB4,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
PTPN11,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
EPGN,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
LCK,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
NRG3,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
IRS2,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF3,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
FGF16,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
SRC,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
PDGFA,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,TSG
CREBBP,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
MAMLD1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HDAC9,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
CUL1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HDAC7,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HDAC4,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
PSEN1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HDAC6,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
RBX1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
EP300,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HDAC10,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
SNW1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
JAG1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
MIB1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
TBL1X,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
NEURL1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
KAT2A,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HDAC5,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
FBXW7,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
CCNC,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
SKP1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
KAT2B,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HES1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HDAC1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
APH1A,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
DLL4,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
CDK8,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HEY2,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
MYC,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
ADAM10,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
APH1B,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
NCOR1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
PSEN2,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
RPS27A,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HDAC8,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
NOTCH1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
UBC,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
